Geo Code,Topic,Category,Sub Category,Characteristic_level_1,Characteristic_level_2,Characteristic_level_3,Characteristic_level_4,Total
M1T,Age characteristics,Total population by age groups,35 to 39 years,,,,,2345
M1T,Age characteristics,Total population by age groups,40 to 44 years,,,,,2475
M1T,Age characteristics,Total population by age groups,45 to 49 years,,,,,2845
M1T,Age characteristics,Total population by age groups,50 to 54 years,,,,,2390
M1T,Age characteristics,Total population by age groups,55 to 59 years,,,,,2045
M1T,Age characteristics,Total population by age groups,60 to 64 years,,,,,1800
M1T,Age characteristics,Total population by age groups,65 to 69 years,,,,,1530
M1T,Age characteristics,Total population by age groups,70 to 74 years,,,,,1545
M1T,Age characteristics,Total population by age groups,75 to 79 years,,,,,1440
M1T,Age characteristics,Total population by age groups,80 to 84 years,,,,,1125
M1T,Age characteristics,Total population by age groups,85 years and over,,,,,1130
M1T,Age characteristics,Median age of the population,,,,,,42.3
M1T,Age characteristics,% of the population aged 15 and over,,,,,,84.6
M1V,Age characteristics,Total population by age groups,,,,,,56310
M1V,Age characteristics,Total population by age groups,0 to 4 years,,,,,2695
M1V,Age characteristics,Total population by age groups,5 to 9 years,,,,,2520
M1V,Age characteristics,Total population by age groups,10 to 14 years,,,,,2845
M1V,Age characteristics,Total population by age groups,15 to 19 years,,,,,3670
M1V,Age characteristics,Total population by age groups,15 to 19 years,15 years,,,,690
M1V,Age characteristics,Total population by age groups,15 to 19 years,16 years,,,,730
M1V,Age characteristics,Total population by age groups,15 to 19 years,17 years,,,,725
M1V,Age characteristics,Total population by age groups,15 to 19 years,18 years,,,,795
M1V,Age characteristics,Total population by age groups,15 to 19 years,19 years,,,,725
M1V,Age characteristics,Total population by age groups,20 to 24 years,,,,,4325
M1V,Age characteristics,Total population by age groups,25 to 29 years,,,,,4395
M1V,Age characteristics,Total population by age groups,30 to 34 years,,,,,3180
M1V,Age characteristics,Total population by age groups,35 to 39 years,,,,,3415
M1V,Age characteristics,Total population by age groups,40 to 44 years,,,,,3980
M1V,Age characteristics,Total population by age groups,45 to 49 years,,,,,4720
M1V,Age characteristics,Total population by age groups,50 to 54 years,,,,,4380
M1V,Age characteristics,Total population by age groups,55 to 59 years,,,,,4115
M1V,Age characteristics,Total population by age groups,60 to 64 years,,,,,3720
M1V,Age characteristics,Total population by age groups,65 to 69 years,,,,,2390
M1V,Age characteristics,Total population by age groups,70 to 74 years,,,,,2005
M1V,Age characteristics,Total population by age groups,75 to 79 years,,,,,1655
M1V,Age characteristics,Total population by age groups,80 to 84 years,,,,,1195
M1V,Age characteristics,Total population by age groups,85 years and over,,,,,1110
M1V,Age characteristics,Median age of the population,,,,,,41.4
M1V,Age characteristics,% of the population aged 15 and over,,,,,,85.7
M1W,Age characteristics,Total population by age groups,,,,,,49590
M1W,Age characteristics,Total population by age groups,0 to 4 years,,,,,2140
M1W,Age characteristics,Total population by age groups,5 to 9 years,,,,,2155
M1W,Age characteristics,Total population by age groups,10 to 14 years,,,,,2480
M1W,Age characteristics,Total population by age groups,15 to 19 years,,,,,3270
M1W,Age characteristics,Total population by age groups,15 to 19 years,15 years,,,,615
M1W,Age characteristics,Total population by age groups,15 to 19 years,16 years,,,,665
M1W,Age characteristics,Total population by age groups,15 to 19 years,17 years,,,,635
M1W,Age characteristics,Total population by age groups,15 to 19 years,18 years,,,,660
M1W,Age characteristics,Total population by age groups,15 to 19 years,19 years,,,,700
M1W,Age characteristics,Total population by age groups,20 to 24 years,,,,,3470
M1W,Age characteristics,Total population by age groups,25 to 29 years,,,,,3295
M1W,Age characteristics,Total population by age groups,30 to 34 years,,,,,2515
M1W,Age characteristics,Total population by age groups,35 to 39 years,,,,,2865
M1W,Age characteristics,Total population by age groups,40 to 44 years,,,,,3720
M1W,Age characteristics,Total population by age groups,45 to 49 years,,,,,4210
M1W,Age characteristics,Total population by age groups,50 to 54 years,,,,,3755
M1W,Age characteristics,Total population by age groups,55 to 59 years,,,,,3410
M1W,Age characteristics,Total population by age groups,60 to 64 years,,,,,3195
M1W,Age characteristics,Total population by age groups,65 to 69 years,,,,,2290
M1W,Age characteristics,Total population by age groups,70 to 74 years,,,,,2090
M1W,Age characteristics,Total population by age groups,75 to 79 years,,,,,1875
M1W,Age characteristics,Total population by age groups,80 to 84 years,,,,,1520
M1W,Age characteristics,Total population by age groups,85 years and over,,,,,1325
M1W,Age characteristics,Median age of the population,,,,,,43.5
M1W,Age characteristics,% of the population aged 15 and over,,,,,,86.3
M1X,Age characteristics,Total population by age groups,,,,,,14745
M1X,Age characteristics,Total population by age groups,0 to 4 years,,,,,1015
M1X,Age characteristics,Total population by age groups,5 to 9 years,,,,,1040
M1X,Age characteristics,Total population by age groups,10 to 14 years,,,,,1135
M1X,Age characteristics,Total population by age groups,15 to 19 years,,,,,1130
M1X,Age characteristics,Total population by age groups,15 to 19 years,15 years,,,,215
M1X,Age characteristics,Total population by age groups,15 to 19 years,16 years,,,,245
M1X,Age characteristics,Total population by age groups,15 to 19 years,17 years,,,,235
M1X,Age characteristics,Total population by age groups,15 to 19 years,18 years,,,,215
M1X,Age characteristics,Total population by age groups,15 to 19 years,19 years,,,,220
M1X,Age characteristics,Total population by age groups,20 to 24 years,,,,,1180
M1X,Age characteristics,Total population by age groups,25 to 29 years,,,,,1095
M1X,Age characteristics,Total population by age groups,30 to 34 years,,,,,1015
M1X,Age characteristics,Total population by age groups,35 to 39 years,,,,,965
M1X,Age characteristics,Total population by age groups,40 to 44 years,,,,,1130
M1X,Age characteristics,Total population by age groups,45 to 49 years,,,,,1230
M1X,Age characteristics,Total population by age groups,50 to 54 years,,,,,1130
M1X,Age characteristics,Total population by age groups,55 to 59 years,,,,,925
M1X,Age characteristics,Total population by age groups,60 to 64 years,,,,,680
