Geo Code,Topic,Category,Sub Category,Characteristic_level_1,Characteristic_level_2,Characteristic_level_3,Characteristic_level_4,Total
M1G,Household and dwelling characteristics,Total number of occupied private dwellings by structural type of dwelling,Other dwelling,Semi-detached house,,,,20
M1G,Household and dwelling characteristics,Total number of occupied private dwellings by structural type of dwelling,Other dwelling,Row house,,,,225
M1G,Household and dwelling characteristics,Total number of occupied private dwellings by structural type of dwelling,Other dwelling,"Apartment, duplex",,,,1110
M1G,Household and dwelling characteristics,Total number of occupied private dwellings by structural type of dwelling,Other dwelling,"Apartment, building that has fewer than five storeys",,,,210
M1G,Household and dwelling characteristics,Total number of occupied private dwellings by structural type of dwelling,Other dwelling,Other single-attached house,,,,0
M1G,Household and dwelling characteristics,Total number of private households by household size,,,,,,10090
M1G,Household and dwelling characteristics,Total number of private households by household size,1 person,,,,,2185
M1G,Household and dwelling characteristics,Total number of private households by household size,2 persons,,,,,2480
M1G,Household and dwelling characteristics,Total number of private households by household size,3 persons,,,,,1855
M1G,Household and dwelling characteristics,Total number of private households by household size,4 persons,,,,,1860
M1G,Household and dwelling characteristics,Total number of private households by household size,5 persons,,,,,930
M1G,Household and dwelling characteristics,Total number of private households by household size,6 or more persons,,,,,780
M1G,Household and dwelling characteristics,Number of persons in private households,,,,,,30040
M1G,Household and dwelling characteristics,Average number of persons in private households,,,,,,3
M1H,Household and dwelling characteristics,Total number of persons in private households,,,,,,23510
M1H,Household and dwelling characteristics,Total number of persons in private households,Number of persons not in census families,,,,,3825
M1H,Household and dwelling characteristics,Total number of persons in private households,Number of persons not in census families,Living with relatives,,,,830
M1H,Household and dwelling characteristics,Total number of persons in private households,Number of persons not in census families,Living with non-relatives only,,,,1055
M1H,Household and dwelling characteristics,Total number of persons in private households,Number of persons not in census families,Living alone,,,,1940
M1H,Household and dwelling characteristics,Total number of persons in private households,Number of census family persons,,,,,19685
M1H,Household and dwelling characteristics,Average number of persons per census family,,,,,,3
M1H,Household and dwelling characteristics,Total number of persons aged 65 years and over in private households,,,,,,3150
M1H,Household and dwelling characteristics,Total number of persons aged 65 years and over in private households,Number of persons not in census families aged 65 years and over,,,,,870
M1H,Household and dwelling characteristics,Total number of persons aged 65 years and over in private households,Number of persons not in census families aged 65 years and over,Living with relatives,,,,255
M1H,Household and dwelling characteristics,Total number of persons aged 65 years and over in private households,Number of persons not in census families aged 65 years and over,Living with non-relatives only,,,,50
M1H,Household and dwelling characteristics,Total number of persons aged 65 years and over in private households,Number of persons not in census families aged 65 years and over,Living alone,,,,560
M1H,Household and dwelling characteristics,Total number of persons aged 65 years and over in private households,Number of census family persons aged 65 years and over,,,,,2280
M1H,Household and dwelling characteristics,Total number of private households by household type,,,,,,8540
M1H,Household and dwelling characteristics,Total number of private households by household type,Census-family households,,,,,6190
M1H,Household and dwelling characteristics,Total number of private households by household type,Census-family households,One-family-only households,,,,5145
M1H,Household and dwelling characteristics,Total number of private households by household type,Census-family households,One-family-only households,Couple-family households,,,4050
M1H,Household and dwelling characteristics,Total number of private households by household type,Census-family households,One-family-only households,Couple-family households,Without children,,1575
M1H,Household and dwelling characteristics,Total number of private households by household type,Census-family households,One-family-only households,Couple-family households,With children,,2475
M1H,Household and dwelling characteristics,Total number of private households by household type,Census-family households,One-family-only households,Lone-parent-family households,,,1090
M1H,Household and dwelling characteristics,Total number of private households by household type,Census-family households,Other family households,,,,1045
M1H,Household and dwelling characteristics,Total number of private households by household type,Census-family households,Other family households,One-family households with persons not in a census family,,,610
M1H,Household and dwelling characteristics,Total number of private households by household type,Census-family households,Other family households,One-family households with persons not in a census family,Couple-family households,,455
M1H,Household and dwelling characteristics,Total number of private households by household type,Census-family households,Other family households,One-family households with persons not in a census family,Couple-family households,Without children,145
M1H,Household and dwelling characteristics,Total number of private households by household type,Census-family households,Other family households,One-family households with persons not in a census family,Couple-family households,With children,310
M1H,Household and dwelling characteristics,Total number of private households by household type,Census-family households,Other family households,One-family households with persons not in a census family,Lone-parent-family households,,160
M1H,Household and dwelling characteristics,Total number of private households by household type,Census-family households,Other family households,Two-or-more-family households,,,435
M1H,Household and dwelling characteristics,Total number of private households by household type,Non-census-family households,,,,,2350
M1H,Household and dwelling characteristics,Total number of private households by household type,Non-census-family households,One-person households,,,,1940
M1H,Household and dwelling characteristics,Total number of private households by household type,Non-census-family households,Two-or-more-person households,,,,405
M1H,Household and dwelling characteristics,Total number of occupied private dwellings by structural type of dwelling,,,,,,8540
M1H,Household and dwelling characteristics,Total number of occupied private dwellings by structural type of dwelling,Single-detached house,,,,,2660
M1H,Household and dwelling characteristics,Total number of occupied private dwellings by structural type of dwelling,"Apartment, building that has five or more storeys",,,,,4660
M1H,Household and dwelling characteristics,Total number of occupied private dwellings by structural type of dwelling,Movable dwelling,,,,,0
M1H,Household and dwelling characteristics,Total number of occupied private dwellings by structural type of dwelling,Other dwelling,,,,,1220
M1H,Household and dwelling characteristics,Total number of occupied private dwellings by structural type of dwelling,Other dwelling,Semi-detached house,,,,220
M1H,Household and dwelling characteristics,Total number of occupied private dwellings by structural type of dwelling,Other dwelling,Row house,,,,170
M1H,Household and dwelling characteristics,Total number of occupied private dwellings by structural type of dwelling,Other dwelling,"Apartment, duplex",,,,620
M1H,Household and dwelling characteristics,Total number of occupied private dwellings by structural type of dwelling,Other dwelling,"Apartment, building that has fewer than five storeys",,,,200
M1H,Household and dwelling characteristics,Total number of occupied private dwellings by structural type of dwelling,Other dwelling,Other single-attached house,,,,10
M1H,Household and dwelling characteristics,Total number of private households by household size,,,,,,8540
M1H,Household and dwelling characteristics,Total number of private households by household size,1 person,,,,,1945
M1H,Household and dwelling characteristics,Total number of private households by household size,2 persons,,,,,2515
M1H,Household and dwelling characteristics,Total number of private households by household size,3 persons,,,,,1620
M1H,Household and dwelling characteristics,Total number of private households by household size,4 persons,,,,,1410
M1H,Household and dwelling characteristics,Total number of private households by household size,5 persons,,,,,605
M1H,Household and dwelling characteristics,Total number of private households by household size,6 or more persons,,,,,445
M1H,Household and dwelling characteristics,Number of persons in private households,,,,,,23510
M1H,Household and dwelling characteristics,Average number of persons in private households,,,,,,2.8
M1J,Household and dwelling characteristics,Total number of persons in private households,,,,,,35830
M1J,Household and dwelling characteristics,Total number of persons in private households,Number of persons not in census families,,,,,5220
M1J,Household and dwelling characteristics,Total number of persons in private households,Number of persons not in census families,Living with relatives,,,,1350
M1J,Household and dwelling characteristics,Total number of persons in private households,Number of persons not in census families,Living with non-relatives only,,,,1335
M1J,Household and dwelling characteristics,Total number of persons in private households,Number of persons not in census families,Living alone,,,,2535
M1J,Household and dwelling characteristics,Total number of persons in private households,Number of census family persons,,,,,30610
M1J,Household and dwelling characteristics,Average number of persons per census family,,,,,,3.1
