Geo Code,Topic,Category,Sub Category,Characteristic_level_1,Characteristic_level_2,Characteristic_level_3,Characteristic_level_4,Total
M3H,Population and dwelling counts,Population in 2011,,,,,,34535
M3H,Population and dwelling counts,Population in 2006,,,,,,
M3H,Population and dwelling counts,2006 to 2011 population change (%),,,,,,
M3H,Population and dwelling counts,Total private dwellings,,,,,,13785
M3H,Population and dwelling counts,Private dwellings occupied by usual residents,,,,,,13161
M3H,Population and dwelling counts,Population density per square kilometre,,,,,,
M3H,Population and dwelling counts,Land area (square km),,,,,,
M3J,Population and dwelling counts,Population in 2011,,,,,,25356
M3J,Population and dwelling counts,Population in 2006,,,,,,
M3J,Population and dwelling counts,2006 to 2011 population change (%),,,,,,
M3J,Population and dwelling counts,Total private dwellings,,,,,,10810
M3J,Population and dwelling counts,Private dwellings occupied by usual residents,,,,,,9484
M3J,Population and dwelling counts,Population density per square kilometre,,,,,,
M3J,Population and dwelling counts,Land area (square km),,,,,,
M3K,Population and dwelling counts,Population in 2011,,,,,,5889
M3K,Population and dwelling counts,Population in 2006,,,,,,
M3K,Population and dwelling counts,2006 to 2011 population change (%),,,,,,
M3K,Population and dwelling counts,Total private dwellings,,,,,,2307
M3K,Population and dwelling counts,Private dwellings occupied by usual residents,,,,,,2181
M3K,Population and dwelling counts,Population density per square kilometre,,,,,,
M3K,Population and dwelling counts,Land area (square km),,,,,,
M3L,Population and dwelling counts,Population in 2011,,,,,,18000
M3L,Population and dwelling counts,Population in 2006,,,,,,
M3L,Population and dwelling counts,2006 to 2011 population change (%),,,,,,
M3L,Population and dwelling counts,Total private dwellings,,,,,,6564
M3L,Population and dwelling counts,Private dwellings occupied by usual residents,,,,,,6194
M3L,Population and dwelling counts,Population density per square kilometre,,,,,,
M3L,Population and dwelling counts,Land area (square km),,,,,,
M3M,Population and dwelling counts,Population in 2011,,,,,,23727
M3M,Population and dwelling counts,Population in 2006,,,,,,
M3M,Population and dwelling counts,2006 to 2011 population change (%),,,,,,
M3M,Population and dwelling counts,Total private dwellings,,,,,,9620
M3M,Population and dwelling counts,Private dwellings occupied by usual residents,,,,,,9183
M3M,Population and dwelling counts,Population density per square kilometre,,,,,,
M3M,Population and dwelling counts,Land area (square km),,,,,,
M3N,Population and dwelling counts,Population in 2011,,,,,,42762
M3N,Population and dwelling counts,Population in 2006,,,,,,
M3N,Population and dwelling counts,2006 to 2011 population change (%),,,,,,
M3N,Population and dwelling counts,Total private dwellings,,,,,,14558
M3N,Population and dwelling counts,Private dwellings occupied by usual residents,,,,,,13748
M3N,Population and dwelling counts,Population density per square kilometre,,,,,,
M3N,Population and dwelling counts,Land area (square km),,,,,,
M4A,Population and dwelling counts,Population in 2011,,,,,,14150
M4A,Population and dwelling counts,Population in 2006,,,,,,
M4A,Population and dwelling counts,2006 to 2011 population change (%),,,,,,
M4A,Population and dwelling counts,Total private dwellings,,,,,,6223
M4A,Population and dwelling counts,Private dwellings occupied by usual residents,,,,,,6058
M4A,Population and dwelling counts,Population density per square kilometre,,,,,,
M4A,Population and dwelling counts,Land area (square km),,,,,,
M4B,Population and dwelling counts,Population in 2011,,,,,,18453
