_id,Year,BranchCode,Registrations
628,2017,TOD,209
629,2017,TRL,13511
630,2017,VV,471
631,2017,WE,1067
632,2017,WP,506
633,2017,WS,2046
634,2017,WY,1101
635,2017,YO,1215
636,2017,YW,2952
637,2018,AB,7788
638,2018,ACD,1789
639,2018,AD,733
640,2018,AG,3658
641,2018,AH,859
642,2018,AN,1349
643,2018,AP,1045
644,2018,BB,1233
645,2018,BC,1688
646,2018,BD,1055
647,2018,BE,1810
648,2018,BF,2884
649,2018,BKONE,137
650,2018,BKTWO,17
651,2018,BL,3787
652,2018,BR,2483
653,2018,BRW,2908
654,2018,BUR,1056
655,2018,CC,963
656,2018,CE,2296
657,2018,CED,4913
658,2018,CH,3182
659,2018,CL,12469
660,2018,CS,1203
661,2018,DA,1314
662,2018,DM,2310
663,2018,DO,2468
664,2018,DP,2462
665,2018,DR,1381
666,2018,DS,12
667,2018,DT,452
668,2018,DU,1420
669,2018,EA,3085
670,2018,EB,476
671,2018,EG,605
672,2018,EN,2812
673,2018,ES,2646
674,2018,FH,1093
675,2018,FO,4097
676,2018,FP,1132
677,2018,FV,8251
678,2018,GE,774
679,2018,GHP,942
680,2018,GW,477
681,2018,HB,783
682,2018,HC,1016
683,2018,HIL,1057
684,2018,HLS,180
685,2018,HP,1525
686,2018,HS,790
687,2018,HW,680
688,2018,JD,1672
689,2018,JO,907
690,2018,JS,1270
691,2018,KE,1492
692,2018,LB,908
693,2018,LD,1
694,2018,LE,1511
695,2018,LO,2111
696,2018,LS,3555
697,2018,MA,1195
698,2018,MAL,3394
699,2018,MAS,1873
700,2018,MCG,1542
701,2018,MD,912
702,2018,MI,1056
703,2018,MP,837
704,2018,MRV,1538
705,2018,MS,1573
706,2018,ND,4164
707,2018,NE,512
708,2018,NT,633
709,2018,OS,1
710,2018,OV,734
711,2018,PA,2249
712,2018,PE,574
713,2018,PK,2802
714,2018,PL,2071
715,2018,PM,1020
716,2018,PU,1144
717,2018,PV,666
718,2018,QS,612
719,2018,RD,1322
720,2018,RI,3638
721,2018,RN,2512
722,2018,RX,466
723,2018,SA,2048
724,2018,SB,135
725,2018,SC,2686
726,2018,SI,6
727,2018,SJ,2137
728,2018,SL,2140
729,2018,SP,925
730,2018,ST,898
731,2018,SW,124
732,2018,SWS,1760
733,2018,TA,497
734,2018,TH,1753
735,2018,TOD,204
736,2018,TRL,14975
737,2018,VV,630
738,2018,WE,1279
739,2018,WP,573
740,2018,WS,2387
741,2018,WY,579
742,2018,YO,1296
743,2018,YW,3361
