Geo Code,Topic,Category,Sub Category,Characteristic_level_1,Characteristic_level_2,Characteristic_level_3,Characteristic_level_4,Counts
M1G,Family characteristics,Total - Couple census families in private households - 100% data,Couples with children,,,,,3940
M1G,Family characteristics,Total - Couple census families in private households - 100% data,Couples with children,1 child,,,,1385
M1G,Family characteristics,Total - Couple census families in private households - 100% data,Couples with children,2 children,,,,1590
M1G,Family characteristics,Total - Couple census families in private households - 100% data,Couples with children,3 or more children,,,,965
M1G,Family characteristics,Total - Lone-parent census families in private households - 100% data,,,,,,1955
M1G,Family characteristics,Total - Lone-parent census families in private households - 100% data,1 child,,,,,1050
M1G,Family characteristics,Total - Lone-parent census families in private households - 100% data,2 children,,,,,590
M1G,Family characteristics,Total - Lone-parent census families in private households - 100% data,3 or more children,,,,,310
M1G,Family characteristics,Total - Persons not in census families in private households - 100% data,,,,,,4490
M1H,Family characteristics,Total - Occupied private dwellings by structural type of dwelling - 100% data,,,,,,8985
M1H,Family characteristics,Total - Occupied private dwellings by structural type of dwelling - 100% data,Single-detached house,,,,,2625
M1H,Family characteristics,Total - Occupied private dwellings by structural type of dwelling - 100% data,Apartment in a building that has five or more storeys,,,,,5150
M1H,Family characteristics,Total - Occupied private dwellings by structural type of dwelling - 100% data,Other attached dwelling,,,,,1205
M1H,Family characteristics,Total - Occupied private dwellings by structural type of dwelling - 100% data,Other attached dwelling,Semi-detached house,,,,225
M1H,Family characteristics,Total - Occupied private dwellings by structural type of dwelling - 100% data,Other attached dwelling,Row house,,,,185
M1H,Family characteristics,Total - Occupied private dwellings by structural type of dwelling - 100% data,Other attached dwelling,Apartment or flat in a duplex,,,,605
M1H,Family characteristics,Total - Occupied private dwellings by structural type of dwelling - 100% data,Other attached dwelling,Apartment in a building that has fewer than five storeys,,,,190
M1H,Family characteristics,Total - Occupied private dwellings by structural type of dwelling - 100% data,Other attached dwelling,Other single-attached house,,,,5
M1H,Family characteristics,Total - Occupied private dwellings by structural type of dwelling - 100% data,Movable dwelling,,,,,0
M1H,Family characteristics,Total - Private households by household size - 100% data,,,,,,8985
M1H,Family characteristics,Total - Private households by household size - 100% data,1 person,,,,,2225
M1H,Family characteristics,Total - Private households by household size - 100% data,2 persons,,,,,2610
M1H,Family characteristics,Total - Private households by household size - 100% data,3 persons,,,,,1685
M1H,Family characteristics,Total - Private households by household size - 100% data,4 persons,,,,,1435
